Country,L1Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Argentina,Santiago del Estero,111,1.1085,6.212,61.1866,3274.6968,5046.0155,1.01226440574113,8.87678275471953,1612.67440749517,103.183440058582,3.37092819614711,4,3,917.4495112736719,5766.419374,-27.7833574,-64.264167
Brasil,Passo Fundo,112,1.9694,5.8552,60.3213,1786.2928,2915.0143,1.02410997331293,6.59856428181952,1295.8615472149,110.872033180778,3.12982723577235,4,1,523.447200403353,5020.168495,-28.2622601,-52.41027949999999
Brasil,Atibaia,112,2.4575,6.7684,60.6034,1031.6578,1874.4258,1.04851020462252,6.6549687891238,1270.02685789832,115.481551145384,3.00234584450402,2,2,400.903457933612,3520.684835,-23.1175492,-46.5567066
Argentina,Salta,115,1.0302,6.6827,60.4912,3486.2713,5517.1456,1.01874363142541,10.3792394049739,1633.5767266104,91.7437297647188,3.27630492615356,4,3,997.7609722574821,6826.425917,-24.7821269,-65.4231976
Chile,Rancagua,115,1.5157,4.7563,61.031,1376.9742,2384.2721,1.05143579218913,10.6473677373184,1338.2153513569,73.6771435996439,2.78488732685548,2,6,741.497823197039,5588.535849,-34.17013240000001,-70.7406259
Mexico,Monclova,116,1.1563,5.9163,61.0799,3896.0967,5861.8144,1.02176574927087,9.12923332002407,1466.47157363633,91.7015137211856,3.19532444832859,4,5,911.467557932681,4002.628942,26.9080378,-101.4215236
Argentina,Posadas,117,1.3127,4.0537,60.7742,2708.3075,4173.7007,1.01796138819941,10.3289887032767,1647.07439626428,92.2232363348481,3.25039018952062,4,3,813.341968060712,5295.603993,-27.3621374,-55.90087459999999
Brasil,Divinopolis,120,1.7622,7.2872,64.1016,1424.4123,2591.1606,1.0251275173679,8.57545633540908,1512.21089216065,95.8234361185985,3.2866432337434,2,5,587.723825167091,5225.134466,-20.103444,-44.9716724
Brasil,Petropolis,120,4.2256,3.524,66.9437,14.0909,55.1986,1.12857159601042,6.437913290463521,1152.66054368199,110.0608008658,2.45145631067961,1,2,22.0568363681356,19909.13335,-22.5112498,-43.1779306
Mexico,Tulancingo de Bravo,120,2.1381,6.4524,62.68,725.7867,1405.3751,1.02135870582522,3.75488725969112,639.940260571654,97.3648439070352,3.12860635696821,2,2,484.43531701392,5457.427828,20.0904802,-98.3690922
Brasil,Santa Maria,121,1.7419,6.5948,60.6865,1761.6721,2919.0754,1.03981334359889,9.07601313382232,1414.03272509152,86.3206051684969,2.70855103861348,4,5,644.886682478282,5881.906282,-29.687634,-53.8129003
Mexico,Zacatecas,121,2.0724,5.7674,60.651,742.0877,1333.025,1.05269014228933,11.2300528118131,1722.08469532116,90.7173126731654,2.91743666169895,2,6,513.35466507652,6374.425148,22.7708555,-102.5832426
Mexico,Victoria,123,1.4296,4.8751,61.0672,2931.9956,4529.5947,1.02441240001048,9.9019438834396,1590.0614141654,92.1214747566912,3.12175459395376,4,3,761.971597578789,5111.564057,23.7369164,-99.14111539999999
Mexico,Ensenada,125,1.421,7.5966,61.6273,2140.9179,3762.9304,1.04080955937561,8.23586789893516,1422.43136703592,98.5071453330029,3.01710885197123,4,5,839.134391761375,4162.836957,31.8667427,-116.5963713
Mexico,Tapachula,125,2.4075,4.7333,60.4315,1423.7071,2419.4968,1.03791036094122,8.44993395563447,1392.00826497716,92.9863388581951,2.98062015503875,2,5,435.269674214138,7507.446961,14.9055599,-92.26342059999999
Mexico,Matamoros,126,1.077,7.0984,61.2708,4509.0364,6831.2172,1.02370330756858,10.6468777997912,1715.30082927327,94.2143241411659,3.1563829787234,6,3,1053.64222365921,5512.101112,25.8690294,-97.50273759999999
Mexico,Poza Rica de Hidalgo,126,1.7083,7.644,60.7156,2253.9342,3801.5832,1.03025997802321,9.6870380156353,1337.11252744214,77.9890847333819,2.88821672803787,4,6,638.791753476377,5953.641187,20.5270592,-97.4629119
Mexico,Uruapan,130,2.2506,6.8741,60.4333,2113.1199,3418.3073,1.03238145978709,11.0389051994428,1618.61228785309,82.6090045169899,3.02369154537008,4,6,497.15075008316694,7327.293901,19.4064492,-102.0430476
Brasil,Juazeiro do Norte,131,1.7404,6.3277,60.4212,1230.5419,2173.8195,1.01332503760928,10.9191119574091,1735.70479738187,91.4483863791928,3.20438845997561,2,3,615.80099427751,8004.457738,-7.2290551,-39.3123192
Mexico,Oaxaca de Juarez,134,0.975,9.5052,60.7339,4095.5433,6821.3343,1.03833182062501,6.5726179865725,1192.96642110544,105.718518723888,2.90966178252726,6,1,1166.6584024304,6070.252709,17.0731842,-96.7265889
Brasil,Santos,135,0.9343,4.5771,61.8685,2095.1876,3429.9183,1.03352002163892,8.80304391902275,1371.24787093142,90.3704759383037,3.13280244530244,4,5,1281.82934264545,10625.21436,-23.9288143,-46.36350849999999
Peru,Arequipa,135,1.0101,8.9034,60.8884,4792.1187,7471.7663,1.04451301464011,14.1168916473086,1929.37747716912,80.8980020767663,3.05369014084507,6,4,1130.6313315114799,9060.450046,-16.4090474,-71.53745099999999
Brasil,Criciuma,137,1.7138,5.8566,61.3338,640.0695,1208.2086,1.02323359285903,7.92503222439055,1365.31277991686,99.0813207472956,2.97481545809813,2,5,738.041163037642,4335.789844,-28.6726329,-49.3733541
Mexico,Durango,137,1.1992,7.423,60.3509,4627.4564,7015.7443,1.02635510177688,14.6633316961905,2011.96938528239,78.9829859668166,3.12679122075095,6,4,1012.66208169168,5994.940914,24.5592665,-104.6587821
Argentina,Parana,140,1.7075,4.7401,60.9331,1948.9687,3270.9485,1.02135211660641,6.57063824173736,1207.72290435842,107.585584065745,3.17493707299532,4,1,780.441687905814,4475.29888,-31.7413197,-60.51154709999999
Brasil,Taubate,140,1.4656,4.3272,61.6361,1249.8275,2211.3343,1.04244664640542,8.078794835638039,1365.30818312321,100.495467662995,2.96201550387596,2,5,842.2048261438031,5696.645697,-23.0225753,-45.5486715
