Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Brasil,Rio de Janeiro,BELFORD ROXO,31,0.3984,2.4512,60.2573,4623.5526,5978.2311,1.04832444877669,81.5398208975353,13449.7224687842,97.9082926831458,2.85313575019846,3,5,78.1826588509552,7839.657567,-22.729061847978,-43.3768700695297
Argentina,Posadas,Capital,299,0.3148,4.4801,66.7548,228.1105,3648.62,1.03485080427129,10.4079716242204,2114.15575483092,116.999193247819,3.20664000743978,2,4,954.076390532413,5525.615184,-27.550941225012,-55.8561557290404
Costa Rica,San Jose,OREAMUNO,112,0.555,3.579,76.3166,5.5783,211.3064,1.14051547726409,3.56350831436307,1030.04508213525,167.957337081332,2.5892494929006,5,2,203.17056567031,8575.209776,10.0074071681955,-83.8658418060087
Argentina,San Miguel de Tucuman-Tafi Viejo,Tafí Viejo,200,0.1756,4.2109,74.607,15.9291,786.2539,1.08633093345175,2.7280640282026,710.552937070596,150.68362295345,3.01576763485477,1,6,1143.66817191443,5412.787573,-26.6633731147875,-65.446623793134
Argentina,Bahia Blanca,Bahía Blanca,487,0.2131,5.1337,76.6491,77.6599,2644.8742,1.03276100408774,3.67248519190013,939.28779884952,144.004054171924,3.41100582258248,1,6,2288.64095042171,4534.339152,-38.5853169702967,-62.1706249182144
Brasil,Cuiaba,CUIAB0,615,0.176,8.5165,71.8477,222.0032,6988.6981,1.06563030818198,4.44785001670358,935.650667605288,124.754527173503,3.0121184406082,3,2,3515.63113443042,4987.321841,-15.4488917375832,-55.9389985847222
Brasil,Sao Paulo,SUZANO,323,1.5662,4.4514,66.5626,199.0397,1054.1675,1.06248697768914,20.0969955645652,4603.13578498694,134.791965091508,2.93143329202808,2,4,207.145390793644,6940.919655,-23.6083619932095,-46.3104580370932
Brasil,Balneario Camboriu,BALNE0RIO CAMBORID,105,2.2736,3.5449,61.3437,214.5302,711.8268,1.03986937172185,39.0125982499695,7783.10200902873,116.397749868475,2.82286488929055,4,1,46.4209019967392,7893.810396,-27.0047019558873,-48.6205564950401
Argentina,Mendoza,Godoy Cruz,43,0.5058,2.4313,63.4414,771.1177,2510.5112,1.02307297923848,38.4219263497403,6189.48018616201,95.1962464605239,3.11841375485302,2,1,85.2377876681378,7514.179467,-32.9284807851137,-68.9021372531786
Chile,Concepcion,CORONEL,150,0.5499,6.4375,65.4815,98.4968,1382.2344,1.06735590798909,11.4939080193481,1895.19113778131,95.6336055105958,2.75992871690427,1,4,273.449204109626,5606.593814,-37.0075421975758,-73.1266596907434
Brasil,Campo Grande,CAMPO GRANDE,762,0.0942,8.2625,79.5393,315.3592,13635.9841,1.04164291281118,3.13944874896654,674.846251018727,124.13608101125,3.25445770704391,3,6,8133.59351969217,4268.249869,-20.9131688441298,-54.2496892159239
Brasil,Rio de Janeiro,S3O GON,305,1.2317,6.9882,60.8994,4013.7428,8846.2777,1.05983431429995,43.3748903873345,9096.35313501822,122.430936014382,2.78228228228228,3,1,248.87670962627,8944.649151,-22.8256490068487,-42.9972301138249
Colombia,Medellin,CALDAS,42,0.3073,3.6246,90.4483,2.9227,151.6452,1.29677786177517,3.13069405428747,1302.18655830437,241.931067540114,2.62697022767075,5,3,137.66915339739,27747.02957,6.05401309060027,-75.6266368522048
Costa Rica,San Jose,EL GUARCO,89,0.5149,3.1237,97.5218,8.35,282.0923,1.18678508103882,3.22405639450456,1024.01923491864,191.18439167325,2.60557768924302,5,3,174.004400467755,8212.840809,9.74680576360282,-83.9297159577369
Mexico,Mexico City,Cuautitl n Izcalli,99,0.8994,4.8843,60.997,4475.9227,6595.8043,1.05629797365164,59.5125109776699,10186.3223013017,101.276521331574,2.68376685934489,3,1,110.649002904125,6849.850393,19.6545670260508,-99.2251856363855
Brasil,Boa Vista,BOA VISTA,392,0.0689,5.4752,100.4238,57.2885,4750.678,1.0443005004764,1.49103471126117,467.508408470224,174.133452739884,3.34628782930546,2,6,5724.88348898325,4239.963718,3.11791494498721,-60.7179531094783
Peru,Lima,LA MOLINA,8,0.1642,6.2102,61.5581,714.1591,1853.6501,1.05739791839545,49.3825609718749,8017.10630067787,98.6055882951292,2.99401645474943,2,1,49.0254039554336,7922.932281,-12.0880856620685,-76.9257286179438
El Salvador,San Miguel,SAN MIGUEL,419,0.6622,4.4692,71.2333,54.4354,1439.5682,1.02074418252315,106.943226494612,17875.522305353,96.8153278792308,3.24776386404293,1,5,9.64062927400027,10022.36183,13.4366569182182,-88.1576539322295
Brasil,Sao Paulo,EMBU,201,2.8553,3.9124,62.7659,199.3903,665.3659,1.11063419522235,31.6926147366133,7197.39795319895,140.008655821864,2.71187063579566,4,1,70.7104799848227,11725.89843,-23.6513359203332,-46.8515047009484
Argentina,Santa Fe,La Capital,992,0.3336,4.0469,76.4471,90.9551,2600.7909,1.03192089968384,4.33399347558385,1143.03850025056,148.872064920869,3.2847112766872,1,2,2983.85313057211,5148.287891,-31.4789222663004,-60.6703636141906
Mexico,Mexico City,Ecatepec de Morelos,30,0.1921,3.7275,60.0449,9608.1093,12236.0593,1.02978260200376,102.553190523083,16230.0789384454,92.156236370118,2.92118563756975,3,5,157.011204798895,13493.77679,19.5727837338869,-99.0432117359598
Chile,Calama,CALAMA,196,0.0126,3.6005,139.2676,2.3225,1341.8669,1.09385211705428,0.371992353989161,136.507608289443,216.99260162354,2.97141560798548,1,6,15675.0533645911,6025.846168,-22.1694857943555,-68.6267052941262
Brasil,Porto Alegre,VIAM0O,663,0.443,3.717,78.8313,28.0527,1021.875,1.08989323775647,2.59118329223567,1060.08691404425,239.04338868064,2.7537482029164,1,3,1502.01647705206,6003.806826,-30.1671407318333,-50.8695473685603
Peru,Lima,LOS OLIVOS,1,0.055,1.8702,,1819.62,1819.62,1.01827364954569,181.146487511487,23648.6772272621,81.1533752078069,3.17963017317287,6,5,18.3111472133272,18920.43394,-11.9725245768779,-77.0743897657788
Brasil,Sao Jose dos Campos,S5O JOS,515,0.4685,4.7957,68.4021,219.0503,2688.7558,1.07432710901038,11.0154362045754,2199.67935686124,119.327923610047,2.89838468654379,2,4,1104.54091640477,7242.60067,-23.0905697509068,-45.9285359708948
Argentina,Santiago del Estero,Capital,213,0.0997,3.5008,70.7106,73.3387,3270.1947,1.03901805403435,2.95542344989628,803.193266085663,153.796423482464,3.28931555034442,2,6,2145.54702820082,5606.442796,-27.8893445350113,-64.4330270516552
Brasil,Santa Maria,SANTA MARIA,354,0.1981,6.3164,71.2976,67.1379,2666.7808,1.06932851787708,5.19442768986806,1418.67429562726,148.369580864623,2.50269876002917,1,2,1794.2303861846,5978.09828,-29.7847546155079,-53.8239916958652
Brasil,Campinas,HORTOL1NDIA,66,1.0601,3.7488,60.6033,1744.5075,2664.9158,1.03263357781582,62.9706841069408,11378.8010480731,106.900585850419,3.00067099082979,2,5,62.5687977807076,4868.288039,-22.8785882248945,-47.2077139395564
Chile,Temuco,PADRE LAS CASAS,412,0.89,2.9635,113.0141,3.9856,255.4652,1.08540050743054,3.21877588622061,1210.75005371497,219.63059472616,2.80250954719039,1,2,463.840929836539,10547.87124,-38.8021672639948,-72.5552868748992
