SALID1,L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY
204188,Poza Rica de Hidalgo,Mexico,1171,0.4199,67.9163,2313.4243,6.1455,113.3029,1.07331231,5.093896835,1111.837097,121.8633651,2.766855907,4,9.75E-01,2,0.938620231,20.536174,-97.45803,55.51,8186.8123,514312,73.87699207,69.3937595,4.25322707,1.726072184,0,0
204189,Veracruz,Mexico,1060,0.6457,391.8633,5130.7734,5.4426,78.6284,1.04687734,9.6499189,1849.049454,109.0568181,3.099296282,4,1.00E+00,2,0.803815893,19.18500308,-96.12299657,41.05,12538.104,811296,81.61663216,78.80812369,4.167101023,2.353099771,0,0
204190,Xalapa,Mexico,577,0.6654,296.8394,3344.6626,5.329,84.5074,1.095202768,14.98182894,3013.004565,115.1698175,2.733513351,4,9.99E-01,3,0.999999568,19.533333,-96.916667,43.83,7696.2568,662797,80.95362773,78.15628369,3.440540231,1.64586739,0,0
204191,Merida,Mexico,951,0.6218,1468.9016,11805.2653,7.3239,68.3431,1.033865839,19.99557316,4014.999884,115.406658,3.144416333,4,9.62E-01,3,1,20.98299594,-89.62800257,39.11,19030.5561,968815,83.52402837,78.64177845,2.67975846,1.963619573,0,0
204192,Fresnillo,Mexico,635,0.1247,7.5151,780.9719,3.5526,314.6371,1.052158857,0.546313919,231.0443206,237.5496923,3.15370019,3,1.00E+00,1,0.999882715,23.16666596,-102.8833312,66.3,4900.93,212231,69.74687652,75.98915184,4.146684455,2.482300885,0,0
204193,Zacatecas,Mexico,541,0.3757,31.8131,916.4303,4.7465,102.546,1.060760758,4.31381063,915.5959248,122.9880872,2.895337901,2,9.97E-01,2,0.970958247,22.76399694,-102.5549997,46.94,4998.2449,310453,82.78398147,83.16822463,5.639179338,2.227118053,0,0
205101,Chinandega,Nicaragua,257,0.134,3.6112,480.941,3.9878,98.8623,1.085051716,1.043965151,396.7081776,213.390016,2.910339257,3,9.68E-01,1,0.998012172,12.61666679,-87.1500014,0,1440.0995,198568,35.76429864,35.67373768,3.140280085,2.603009599,0,0
205102,Esteli,Nicaragua,159,0.2013,9.6565,734.7032,3.9249,90.2982,1.089278573,2.14739047,479.9250088,128.9387849,3.032290616,3,9.41E-01,1,0.961959385,13.08333301,-86.34999835,0,1038.2382,112084,38.44906657,42.75029424,2.733922219,2.477042049,0,0
205103,Leon,Nicaragua,249,0.3083,17.4546,893.8011,4.4331,90.4494,1.062794981,3.199543119,884.029552,156.3740402,2.949114332,2,7.37E-01,2,0.881951967,12.43299608,-86.88099568,0,1577.2407,174051,49.36356404,47.11501285,4.142682961,2.662383221,0,0
205104,Managua,Nicaragua,1269,1.2068,843.6098,6963.0599,6.3768,64.6432,1.052418544,15.71754807,2875.842698,105.0133981,2.873823163,4,1.00E+00,3,0.99999946,12.132778,-86.250278,0,12739.9986,1120366,60.9569864,54.97088342,3.778438748,3.318698651,0,0
205105,Masaya,Nicaragua,253,1.7243,49.0466,708.8212,2.9678,80.4881,1.054554774,6.509183744,1903.088726,174.0288217,2.999080882,4,9.87E-01,2,0.946610667,11.96666618,-86.09999837,0,1015.289,139582,42.4561777,39.67572576,2.395022356,1.753322453,0,0
206101,Panama City,Panama,1792,0.5316,422.7938,6039.8232,6.958,67.7598,1.086311585,5.696549,1465.58443,144.3176387,2.609170554,4,9.98E-01,2,0.637457078,8.966666233,-79.53333273,11.95,23597.056,1745067,92.42048054,91.34369658,5.79735278,8.267682115,1,1
206102,Colon,Panama,465,0.4589,28.028,982.5781,6.8448,79.5479,1.145638198,1.771067207,734.8339785,232.5660934,2.600080873,2,9.97E-01,4,0.98573993,9.359167145,-79.90139005,11.39,2890.347,211961,91.38348301,90.80395521,8.185269552,12.79180635,0,0
206103,David,Panama,592,0.7054,47.5053,996.5367,4.7097,71.7551,1.052098646,4.954379323,1440.420384,163.7815995,2.802032367,2,9.98E-01,2,0.850297666,8.433333379,-82.43333429,11.5,4000.9728,209078,86.83021909,87.51846005,6.710256661,9.206927985,0,0
