L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,URBAN_PROF,TRANS_PROF
Feira de Santana,Brasil,708,0.43200000000000005,201.4081,4578.8009999999995,4.4531,93.0335,1.0470979809999998,7.517040361,1534.862092,121.22787790000001,2.831238172,-12.24999985,-38.95000067,41.86,7208.6436,621549.0,61.95491082,65.50898774,9.535622562999999,20.27279837,1,0,3,1
Ilheus,Brasil,430,0.2443,3.8649,348.4354,3.9096,86.7972,1.118139348,1.097470942,337.01454839999997,174.61576090000003,2.7423878210000003,-14.793497,-39.045358,45.39,1952.286,194112.0,57.76803565,60.69338202,11.92526989,20.49479583,0,0,2,2
Itabuna,Brasil,110,0.2545,55.7243,1339.5556,4.7658,67.8251,1.055755309,6.9990165939999995,1203.926503,99.26751107,3.006845408,-14.80000013,-39.26666634,41.7,1798.2910000000002,215639.0,62.42714292,64.94043981,10.45791237,19.83998487,0,0,1,1
Jequie,Brasil,154,0.0477,8.2023,1264.2954,5.0879,102.8406,1.060975803,1.261941053,272.1876293,128.2555172,3.040343915,-13.86086001,-40.07677460000001,51.72,2093.938,160038.0,54.09918867,56.18665668,8.560864547000001,17.95901868,0,0,2,2
Porto Seguro,Brasil,339,0.1408,1.2599,187.679,3.6828,95.9284,1.1054932579999999,1.315095481,393.111586,174.8839196,2.8676160339999996,-16.43333232,-39.08333205,47.2,1616.6571,133733.0,54.97839342,58.93562729,8.533823539,16.20442334,0,0,2,2
Salvador,Brasil,1763,1.0151,786.1392,6011.8456,9.5936,65.6682,1.087546068,17.40945448,3353.9498940000003,112.52064809999999,2.6395718390000003,-12.99300301,-38.48100264,34.73,22710.966,3371671.0,74.68865813,74.62227445,9.998141586000001,17.93157741,1,0,3,3
Teixeira de Freitas,Brasil,138,0.1186,31.6808,1714.549,5.1395,80.0008,1.038678708,3.610326465,621.5585378999999,98.93655326,3.241956809,-17.51279411,-39.70826834,40.4,2150.5506,145757.0,54.60889967,57.42428520000001,8.767727055,16.60837247,0,0,1,1
Vitoria da Conquista,Brasil,531,0.1582,34.7664,2516.4511,5.1058,105.3565,1.064909018,2.9356061089999996,883.2995346000001,180.918326,3.066958058,-14.84680876,-40.84855655,42.47,4637.5947,323316.0,53.123844999999996,54.66282622,8.644565102,15.09420264,0,0,1,4
Fortaleza,Brasil,3333,0.8341,2279.6747,21125.7486,8.7745,73.6171,1.042391166,13.90380766,2792.968721,116.38721709999999,3.008514501,-3.782997054,-38.58900257,40.79,43121.3541,3459235.0,65.20538067,66.57594883,7.445572082000001,10.72412266,1,1,4,3
Juazeiro do Norte,Brasil,555,0.2782,45.6112,1712.6787,5.5711,86.9034,1.042227799,4.93622002,1075.658537,123.11005690000002,3.071953782,-7.199999683,-39.33333203,53.19,5313.236999999999,432617.0,53.66030127,58.00772772,9.371907197,16.16972062,0,0,1,1
Sobral,Brasil,215,0.1013,5.2266,643.2036,3.5904,156.6426,1.052398956,1.92740011,443.97186469999997,134.4101852,3.084368869,-3.699999885,-40.34999839,53.06,1725.031,190848.0,54.64396917,56.14051559999999,10.34473463,12.82702878,0,0,2,2
Brasilia,Brasil,4278,0.4045,207.9672,4181.7305,6.0920000000000005,76.5099,1.064441562,7.5592308070000005,1621.602697,129.2061033,2.837079966,-15.79211094,-47.89774766,21.72,52597.5822,3235485.0,73.90453552,75.13380251,6.703292435,11.73214527,1,1,4,1
Cachoeiro de Itapemirim,Brasil,342,0.3895,6.3932,279.76099999999997,3.7972,106.2941,1.130459805,3.587085613,1075.402594,179.9344598,2.741348372,-20.85000031,-41.09999843,25.11,2006.7192,199737.0,60.85233145,61.28901852,7.225277996,12.53358309,0,0,1,4
Guarapari,Brasil,362,0.609,13.4887,346.3544,3.7671,82.3095,1.117941797,6.503741363,1989.55937,176.1891865,2.819716549,-20.66666592,-40.49999989,29.5,2314.8089999999997,110746.0,62.20807116,63.19891652,8.121834267,12.70976878,0,0,1,4
Linhares,Brasil,267,0.0762,4.8797,698.2393,2.7302,121.5421,1.090185483,1.06712574,462.8420598999999,242.68869619999998,3.02379349,-19.41666592,-40.06666551,30.14,2449.3512,148634.0,59.57552199,59.53977124,6.071674369,12.92995776,0,0,2,2
