COUNTRY,L1,BECTUAREA,BECNURBPTCH,BECPTCHDENS,BECAWMNSHPINDX,BECAWMNNNGH,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECTPOP,BECPOPDENS,BECPRSBRT,BECPRSSUBWAY,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,POP,AREA,DENSPOP,BRT,SUBWAY,PM2.5,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,URBAN_PROF,TRANS_PROF
Mexico,Merida,17185.5986,278,1.0859999999999999,7.1651,60.7446,8878.4881,13224.763,855786.5143,4979.674915,0,0,1.0221179390000001,10.84914343,1816.932682,96.90912072,3.2340030910000004,20.98299594,-89.62800257,855786.5143,17185.5986,4979.674915,0,0,5.866111952000001,,,,,,,,,,,3,2
Mexico,Fresnillo,1969.1997,39,1.2296,5.7029,60.3623,1184.8668,1908.5128,82500.93864,4189.5662520000005,0,0,1.018144154,6.633973299999999,1185.984383,101.3911526,3.288799598,23.16666596,-102.8833312,82500.93864,1969.1997,4189.5662520000005,0,0,4.962146515,,,,,,,,,,,1,4
Mexico,Zacatecas,3250.3504,121,2.0724,5.7674,60.651,742.0877,1333.025,207724.3102,6390.828995,0,0,1.052690142,11.23005281,1722.084695,90.71731267,2.917436662,22.76399694,-102.5549997,207724.3102,3250.3504,6390.828995,0,0,5.673212883,,,,,,,,,,,1,1
Nicaragua,Chinandega,836.82,18,1.1786,5.0284,62.4145,366.278,668.5027,106444.62400000001,12720.13385,0,0,1.035870969,9.102517426,1442.869473,90.05547713,3.002194587,12.61666679,-87.15000140000001,106444.62400000001,836.82,12720.13385,0,0,7.53379224,,,,,,,,,,,1,1
Nicaragua,Esteli,928.8910000000001,38,2.4025,4.129,60.8632,489.2468,833.0611,98345.72145,10587.44539,0,0,1.026463187,11.76220038,1668.936963,81.68296876,3.1286043830000003,13.08333301,-86.34999835,98345.72145,928.8910000000001,10587.44539,0,0,5.056402439,,,,,,,,,,,1,3
Nicaragua,Leon,1375.7408,56,2.3325,4.3208,60.4282,576.5769,1006.1996,150124.1147,10912.24466,0,0,1.029125268,9.947685076,1526.671384,89.13617299,3.069664903,12.43299608,-86.88099568,150124.1147,1375.7408,10912.24466,0,0,7.200598802000001,,,,,,,,,,,1,1
Nicaragua,Managua,10239.311,349,2.1759,7.1655,60.6116,5547.5273,8690.0696,904619.796,8834.781636,0,0,1.041938964,10.25989765,1505.676675,84.84763212,2.90125046,12.132778,-86.25027800000001,904619.796,10239.311,8834.781636,0,0,6.8759954489999995,,,,,,,,,,,3,1
Nicaragua,Masaya,877.9482,38,2.6563,3.6455,60.9313,516.7382,841.9839999999999,119445.1465,13605.00559,0,0,1.029444565,7.155860644,1261.068904,104.2187137,3.0323928939999996,11.96666618,-86.09999837,119445.1465,877.9482,13605.00559,0,0,6.268907563,,,,,,,,,,,1,4
Panama,Panama City,14853.958,367,1.5527,9.7232,60.8475,7725.3844,12292.6779,1143132.815,7695.811861,1,1,1.070854369,6.80565212,1340.448566,110.80054080000001,2.6143681990000003,8.966666233,-79.53333273,1143132.815,14853.958,7695.811861,1,1,4.287459576,,,,,,,,,,,3,5
Panama,Colon,2249.7345,117,2.7179,8.0362,60.4912,711.6261,1361.6749,140436.0999,6242.353521999999,0,0,1.095406361,3.320168916,785.0423153,134.1532348,2.729817708,9.359167145,-79.90139005,140436.0999,2249.7345,6242.353521999999,0,0,4.149112426,,,,,,,,,,,1,5
Panama,David,2347.021,74,1.8945,4.8748,63.6195,943.1853,1569.721,106424.3123,4534.4442,0,0,1.032592285,6.885007102,1353.149871,111.7853899,2.941882265,8.433333379,-82.43333429,106424.3123,2347.021,4534.4442,0,0,3.373563218,,,,,,,,,,,1,4
