L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG
NariÒo,PASTO,Colombia,131,0.1093,18.5538,1251.6818,4.7682,85.6006,1.129087946,3.389404994,595.4417034,103.2697963,2.944515036,4,0.9830,1,1.0000,1.0557848325499,-77.1955147333283
Risaralda,DOS QUEBRADAS,Colombia,61,0.8943,137.4434,900.2718,5.2028,61.892,1.10940033,19.9224313,3513.633281,101.7151179,2.889090909,3,0.7790,3,0.9277,4.8417306209584,-75.6701543167556
Risaralda,PEREIRA,Colombia,400,0.6573,35.5541,969.86,5.8277,82.1784,1.18824789,6.73184115,1655.052986,140.2454568,2.818678105,1,0.7927,1,0.9997,4.7816269376330,-75.7126715469562
Risaralda,SANTA ROSA DE CABAL,Colombia,38,0.0697,1.0108,166.068,3.5461,76.4305,1.314339366,1.584127225,586.0380474,216.7347523,2.954635108,3,0.9457,6,0.6709,4.8342252610678,-75.5497043262656
Cauca,POPAYAN,Colombia,170,0.3523,38.9517,954.2424,4.251,78.6953,1.122830991,7.596720174,1438.58473,109.907341,2.850639157,1,0.9721,1,0.9985,2.4709179193499,-76.5920902594341
ChocÛ,QUIBDO,Colombia,76,0.0211,1.7325,709.8233,4.3536,370.1319,1.071349473,0.113624649,24.03911604,115.7572439,2.568994889,2,0.6876,1,1.0000,5.9455031384914,-76.6546802088758
La Guajira,RIOHACHA,Colombia,135,0.0439,5.4005,1060.3466,3.1823,162.7066,1.036164563,0.857766865,205.1083613,132.4451121,3.279125384,3,1.0000,1,1.0000,11.2433409572035,-72.9595535620368
Magdalena,CIENAGA,Colombia,82,0.0619,3.047,509.3653,2.6475,110.8538,1.152258496,0.851029016,222.3251026,140.9940296,3.322555205,3,1.0000,1,0.9570,10.8895214664010,-74.0434141984291
Magdalena,PUEBLOVIEJO,Colombia,21,0.0316,0.0559,26.0032,2.4951,199.6545,1.058879218,3.789094048,949.3674337,138.5097219,3.167993631,4,0.9965,6,1.0000,10.8482628315628,-74.3614840181681
Magdalena,SANTA MARTA,Colombia,201,0.0856,19.8862,1348.717,4.0841,80.1605,1.087376273,2.518239784,440.2562955,99.8124565,3.019124891,3,0.8392,1,0.9999,11.1214241883072,-73.8851873076553
Sucre,SINCELEJO,Colombia,75,0.2676,91.855,1499.7675,4.8167,71.632,1.050341657,13.91871906,2194.33681,90.42644907,3.032015898,3,1.0000,1,0.9677,9.3142934124679,-75.4320408426783
Boyac·,NOBSA,Colombia,80,1.4421,4.0662,57.0668,2.615,78.5601,1.141185425,3.685554397,1140.264877,180.0391193,2.81496063,2,0.9267,6,0.8676,5.7784524164561,-72.9316301643845
Boyac·,SOGAMOSO,Colombia,88,0.4247,31.5576,624.1638,4.5207,71.8472,1.157549704,8.088445453,1941.801419,135.7132941,2.867209971,1,0.8952,2,0.7262,5.6677165442342,-72.8858532788761
Valle del Cauca,TULUA,Colombia,90,0.1008,12.2885,898.9425,4.0963,95.6792,1.188338948,2.87469116,620.4823567,125.0942069,3.193352395,4,0.8180,1,0.9981,4.0300288493754,-76.0353342561213
Boyac·,COMBITA,Colombia,7,0.0475,0.022,10.7464,1.938,283.6864,1.123166246,0.424159272,369.9962201,538.7765682,2.794871795,2,0.9000,6,0.9987,5.6877890875413,-73.3294791100260
Boyac·,MOTAVITA,Colombia,3,0.0496,0.0182,9.2118,2.4787,708.4562,1.270622004,0.624412558,614.0882442,612.6506747,2.547169811,2,0.9929,4,0.9987,5.6050714931060,-73.3771034188494
Boyac·,OICATA,Colombia,2,0.0336,0.0026,3.7957,1.6149,1978.4085,1.130160169,0.832920106,529.4242727,349.2441298,2.675675676,2,0.9838,4,1.0000,5.6107147249229,-73.2799116818568
Boyac·,TUNJA,Colombia,36,0.3053,6.3488,124.5304,3.2102,104.1144,1.06291055,19.80025284,3119.87665,93.0918857,2.934558824,3,0.9960,6,0.9891,5.5180047335561,-73.3784157651304
Cesar,VALLEDUPAR,Colombia,211,0.05,15.7337,2271.5563,4.6306,116.7267,1.052407976,1.311539699,283.9173329,121.7160694,3.278319828,3,1.0000,1,1.0000,10.3819589174455,-73.4638907293725
Meta,VILLAVICENCIO,Colombia,564,0.4298,26.7487,978.3313,3.5668,92.5683,1.064248145,4.033405536,741.4413841,106.5450259,2.88627451,4,0.9993,1,1.0000,4.0918581299583,-73.4881161687262
Casanare,YOPAL,Colombia,191,0.0769,4.724,788.877,2.9608,162.3778,1.12799368,1.219931046,383.3319892,180.189941,3.070479492,3,0.9996,1,1.0000,5.2425240836116,-72.2574849470910
SAN JOSE,ALAJUELA,Costa Rica,689,1.7617,422.8118,2908.4282,6.3975,67.7575,1.109713693,9.85720928,2873.94604,161.6017907,2.400820092,2,0.9760,5,0.9973,10.0940774336972,-84.2256465530420
SAN JOSE,ALAJUELITA,Costa Rica,36,1.676,80.1746,295.8787,3.2356,62.0288,1.101371742,32.32835864,5782.456645,101.2369256,2.478087649,2,0.6338,2,0.9738,9.8874218783639,-84.1146275432261
SAN JOSE,ASERRI,Costa Rica,95,0.5694,10.0158,299.2313,4.1126,74.8879,1.248560973,3.422460206,1185.896282,196.6829437,2.435239207,2,0.9928,2,0.9887,9.7450317324314,-84.1374454444626
SAN JOSE,BARVA,Costa Rica,103,1.8401,17.8063,177.3924,3.311,74.162,1.110158664,10.63486789,2680.912544,141.6511697,2.405940594,2,0.9813,2,1.0000,10.0755396955292,-84.1145791923970
SAN JOSE,BELEN,Costa Rica,12,0.9635,830.5314,1003.2204,3.2266,60.079,1.104524462,43.4598276,8250.155544,109.0195606,2.450757576,2,0.6549,3,0.9996,9.9832719511217,-84.1774375047694
SAN JOSE,CARTAGO,Costa Rica,268,0.9652,128.1119,1548.1563,4.689,67.7505,1.056261732,3.106445256,705.4607574,128.7552239,3.06370876,4,0.9867,3,0.7500,9.8157066462667,-83.9213447684707
SAN JOSE,CURRIDABAT,Costa Rica,29,1.7902,793.3574,1114.7259,4.2495,60.4308,1.089015689,65.70514319,11726.66254,103.2104211,2.586373021,1,0.8914,3,0.9999,9.9174739929716,-84.0278171509224
SAN JOSE,DESAMPARADOS,Costa Rica,140,1.1728,302.6811,1755.2405,6.0691,65.5358,1.126448822,16.59576405,3449.974382,117.8613481,2.479108635,2,0.9848,3,0.9995,9.8145812080796,-84.0456468038987
SAN JOSE,EL GUARCO,Costa Rica,89,0.5149,8.35,282.0923,3.1237,97.5218,1.186785081,3.224056395,1024.019235,191.1843917,2.605577689,2,0.9958,2,0.8941,9.7468057636028,-83.9297159577369
SAN JOSE,ESCAZU,Costa Rica,79,2.285,576.0363,1291.0823,4.6958,62.2723,1.115422703,34.3620502,7405.426384,121.8242997,2.470896391,2,0.8366,3,1.0000,9.9145756882659,-84.1451671183554
SAN JOSE,FLORES,Costa Rica,5,0.7414,563.2944,610.0253,2.0001,67.4649,1.061601008,49.68894783,9222.132183,110.5057844,2.604444444,4,0.9898,4,0.6610,10.0066101819273,-84.1560687824985
SAN JOSE,GOICOECHEA,Costa Rica,37,1.1691,396.7229,1055.916,4.0921,62.4131,1.078735118,46.45436136,7447.175106,92.75263299,2.622345804,4,0.5679,3,0.9998,9.9581843224973,-83.9890550523170
SAN JOSE,HEREDIA,Costa Rica,38,0.1343,128.9377,1851.9555,3.2484,61.4818,1.07168452,6.730263729,1052.770456,88.24708015,2.662146455,1,0.8716,3,0.6775,10.1496250355821,-84.0747147419844
SAN JOSE,LA UNION,Costa Rica,74,1.6645,119.4552,447.1783,3.6578,63.3286,1.10822473,29.01772377,5543.313557,111.1427722,2.521031969,2,0.8827,3,0.8279,9.9112017730717,-83.9872127950299
SAN JOSE,MONTES DE OCA,Costa Rica,28,1.8007,512.5744,867.0205,2.6067,60.5246,1.064717534,57.31729208,8800.863833,89.72711429,2.620401338,4,0.9011,3,0.9999,9.9419249789841,-84.0189701984636
SAN JOSE,MORA,Costa Rica,119,0.7274,2.06,91.6498,3.2281,107.037,1.212141782,2.932207253,1620.650206,306.4951459,2.475317348,2,0.9980,6,0.9997,9.8841896558177,-84.2699718761694
SAN JOSE,MORAVIA,Costa Rica,55,1.8905,154.1606,570.3782,3.303,65.8173,1.08503183,26.96212073,5222.372365,112.8447055,2.543478261,2,0.7371,3,0.9996,10.0100202434875,-84.0185086616367
SAN JOSE,OREAMUNO,Costa Rica,112,0.555,5.5783,211.3064,3.579,76.3166,1.140515477,3.563508314,1030.045082,167.9573371,2.589249493,2,0.9920,2,0.9166,10.0074071681955,-83.8658418060087
SAN JOSE,PARAISO,Costa Rica,196,0.4106,2.2112,183.0018,3.3526,85.6543,1.158669468,1.521239489,546.6510525,201.1346055,2.632571996,2,0.9883,6,0.8233,9.7164338381977,-83.7653597087807
SAN JOSE,POAS,Costa Rica,157,2.1113,2.7235,53.5913,3.3966,92.69,1.164449557,3.605653643,1711.647611,266.4704405,2.366504854,2,0.9939,2,0.7789,10.1056795295591,-84.2409950657974
SAN JOSE,SAN ISIDRO,Costa Rica,97,3.6635,6.9967,58.0149,4.1137,69.928,1.081261894,11.560677,3603.052948,178.0940164,2.418300654,2,0.9158,2,1.0000,10.0278419042911,-84.0402606554968
SAN JOSE,SAN JOSE,Costa Rica,38,0.8488,3552.7014,3952.7349,3.2862,60.1121,1.056501757,100.6990027,15621.93816,89.87130104,2.852738484,3,0.9991,5,0.9545,9.9351137208857,-84.1024680227986
SAN JOSE,SAN PABLO,Costa Rica,25,2.9763,215.2818,381.0401,2.7995,61.734,1.063157168,46.35525786,7705.560446,93.08790521,2.36557377,4,0.9452,3,1.0000,9.9949786667342,-84.0945791204747
SAN JOSE,SAN RAFAEL,Costa Rica,176,3.6586,39.4668,278.1567,2.6062,65.732,1.098962549,12.78715201,3497.494731,153.218643,2.384210526,2,0.9780,2,0.9999,10.0484115195820,-84.0788326054391
SAN JOSE,SANTA ANA,Costa Rica,150,2.445,175.8051,796.6567,8.0796,63.7849,1.160176196,17.03532388,4528.500401,148.6726081,2.457627119,2,0.9929,3,0.9997,9.9201746846797,-84.1889217202614
SAN JOSE,SANTA BARBARA,Costa Rica,97,1.8603,49.5928,365.0438,3.424,78.7662,1.094268607,9.034961458,2625.039077,160.8844409,2.425977654,2,0.9238,2,1.0000,10.0819165031472,-84.1498762788111
SAN JOSE,SANTO DOMINGO,Costa Rica,103,4.0794,107.8015,330.5207,4.3087,69.4966,1.081563151,25.91435035,6157.024623,133.9632275,2.460103627,2,0.7043,2,0.9991,9.9855307200707,-84.0663385756409
SAN JOSE,TIBAS,Costa Rica,8,0.9595,630.0311,720.9249,2.3548,60.1637,1.060438605,87.9499386,14069.0558,92.5198881,2.701973001,1,0.9944,3,0.8618,9.9586595149082,-84.0810705443448
SAN JOSE,VASQUEZ DE CORONADO,Costa Rica,102,0.4555,16.7404,520.263,3.5573,65.634,1.140246464,2.915459941,810.3550892,157.833903,2.374497992,2,0.9733,2,0.9456,10.0432588123174,-83.9481751486933
SAN MIGUEL,SAN MIGUEL,El Salvador,419,0.6622,54.4354,1439.5682,4.4692,71.2333,1.020744183,106.9432265,17875.52231,96.81532788,3.247763864,3,1.0000,1,0.9987,13.4366569182182,-88.1576539322295
SAN SALVADOR,SAN SALVADOR,El Salvador,82,1.1475,2528.5159,4122.6559,3.6278,60.8356,1.0763749,71.98308585,11489.96606,91.4388553,2.749696786,1,0.9082,3,0.9488,13.6934281090457,-89.2155417676254
SAN SALVADOR,ANTIGUO CUSCATLAN,El Salvador,36,1.6738,300.4309,758.392,2.5346,60.392,1.086041867,50.04551583,8379.600453,97.02358035,2.514950166,2,0.7078,3,0.9999,13.6742984191154,-89.2530967071323
SAN SALVADOR,APOPA,El Salvador,120,2.2617,103.7297,624.3056,5.3775,63.6584,1.05041635,33.69093581,5048.449813,82.79747788,2.502671756,4,0.9901,3,0.9567,13.7994251034249,-89.1969492070926
SAN SALVADOR,AYUTUXTEPEQUE,El Salvador,46,5.1549,14.4028,74.3384,2.8216,64.3427,1.102169672,26.50769627,4858.009281,106.906263,2.647416413,2,0.8844,2,1.0000,13.7546871422453,-89.2015813776571
