L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG
Barbacena,Brasil,285,0.3754,25.2545,1066.8204,5.793,95.8811,1.126476239,3.305553389,975.2217999,178.3389187,2.77734375,2,0.9983,4,0.9986,-21.23333345,-43.76666626
Belo Horizonte,Brasil,4207,0.9162,3768.3857,27454.6072,9.5725,65.944,1.073186526,17.08701278,3835.276442,131.1478996,2.973520802,1,1.0000,3,1.0000,-19.85200198,-43.90900169
Conselheiro Lafaiete,Brasil,209,0.5645,97.0446,1633.1522,6.9578,74.7667,1.078984266,8.631633812,1946.58307,134.4568147,2.892557652,2,0.9967,2,0.9344,-20.66666592,-43.79999905
Divinopolis,Brasil,320,0.452,141.6152,2402.4102,7.0657,77.9887,1.061878343,9.736456773,2534.825354,141.1186184,3.17285785,2,0.9886,3,0.5781,-20.144425,-44.888616
Governador Valadares,Brasil,215,0.0918,29.9024,1879.8551,4.9526,103.5837,1.094465232,2.344531743,528.5263927,133.6627978,3.048876497,2,0.7442,1,0.9337,-18.85000028,-41.93333427
Ipatinga,Brasil,495,0.2396,65.5853,1837.1044,5.5871,69.9799,1.133138199,4.65477593,1211.742294,154.3881785,2.902369499,2,0.9995,4,0.9731,-19.49999995,-42.53333271
Itabira,Brasil,170,0.1356,15.255,926.111,4.8086,80.5361,1.16998179,2.016263601,649.7738262,192.0447205,2.891223314,3,0.8895,4,0.9681,-19.61666666,-43.21666706
Juiz de Fora,Brasil,496,0.3454,78.1681,1862.1888,5.9904,92.6914,1.157906569,4.705116454,1335.138846,167.4651819,2.712110482,2,0.9993,4,1.0000,-21.74999986,-43.33333199
Montes Claros,Brasil,268,0.0751,59.8799,3918.4958,5.7801,121.3921,1.041484023,2.57421351,531.7608691,118.2185501,3.153012401,2,0.9690,1,0.8106,-16.71666708,-43.86666485
Passos,Brasil,166,0.124,21.8445,1592.9893,4.7322,92.8348,1.059290135,2.23596784,542.8931883,141.0003601,3.211293826,3,0.7345,1,0.9296,-20.71666715,-46.61666482
Patos de Minas,Brasil,257,0.0806,18.07,2072.8309,4.6544,129.8159,1.077091816,1.630548218,418.715354,151.2136221,3.133521226,3,0.9966,1,0.9945,-18.58333385,-46.53333268
Pocos de Caldas,Brasil,202,0.3691,68.1259,1295.6627,4.5413,84.6601,1.102412782,6.611737817,1571.481093,140.8190103,2.961455071,2,0.9999,2,0.9462,-21.7999991,-46.56666547
Pouso Alegre,Brasil,230,0.4234,32.7662,834.5407,4.5156,101.2835,1.085916363,7.72434518,1937.016882,145.4101234,2.989328955,2,0.9995,2,0.9791,-22.21666713,-45.93333434
Sete Lagoas,Brasil,339,0.6305,298.3082,3379.9196,5.1835,68.7799,1.071321904,10.89812342,2629.812463,142.8594327,3.126352093,4,0.9976,3,0.8974,-19.45000071,-44.23333353
Teofilo Otoni,Brasil,157,0.0484,3.3345,846.6199,6.6748,157.0174,1.177166485,0.701517453,260.8266069,221.2632013,2.763819095,3,0.9999,4,0.8835,-17.85240045,-41.50020028
Uberaba,Brasil,503,0.1112,48.1966,3716.9136,4.9368,95.5535,1.077274754,2.129255297,642.1910091,178.1943629,3.204318937,2,0.9974,1,0.9900,-19.74999993,-47.91666782
Uberlandia,Brasil,947,0.2301,229.0911,7725.0759,6.7641,83.6303,1.041048318,3.96901493,929.8516534,137.0884746,3.239946845,4,1.0000,2,0.9887,-18.91666586,-48.29999908
Varginha,Brasil,126,0.3186,85.6083,1602.8911,5.3731,88.3969,1.091213795,9.402489036,2007.007887,126.3215139,3.093535749,2,0.9998,2,0.7995,-21.54937127,-45.43381735
Belem,Brasil,1561,0.6154,1288.6249,14156.1376,8.5301,65.7175,1.039016669,9.115940605,1807.061679,114.7540002,2.847982683,4,0.5415,2,0.8428,-1.439000952,-48.49800256
Castanhal,Brasil,240,0.2332,49.9745,1913.9415,5.593,94.5386,1.026835886,4.008427274,889.8535304,130.7440609,3.18496732,2,0.9998,2,0.9828,-1.299999948,-47.91666782
Maraba,Brasil,427,0.0282,1.8049,741.5077,3.338,187.195,1.095224734,0.334309521,99.16137059,167.5062985,3.030536913,3,1.0000,1,0.9988,-5.349999782,-49.11666481
Parauapebas,Brasil,453,0.0658,1.7411,565.9556,3.3855,114.7738,1.079900413,0.935504971,223.3838081,137.9679885,3.199515462,3,0.9970,1,0.9981,-6.067018074,-49.89224971
Santarem,Brasil,617,0.027,2.9056,1619.8694,3.5872,126.5603,1.096220757,0.213635816,80.37719208,212.1708117,3.169205658,3,0.9995,1,0.9995,-2.459997067,-54.61000168
Campina Grande,Brasil,391,0.2986,123.8369,2963.3813,4.4242,87.0952,1.036026986,6.705395085,1234.025999,112.4455903,2.998794939,2,0.9993,2,0.9875,-7.216666551,-35.88333503
Joao Pessoa,Brasil,862,0.6818,835.5892,7038.8941,7.2717,69.3678,1.037643112,17.03139803,3179.551484,111.8876326,3.076903434,4,0.9996,3,1.0000,-7.115,-34.863056
Apucarana,Brasil,183,0.3278,39.5551,1047.665,6.2312,94.5349,1.070970338,5.576265814,1751.1089,179.1577305,3.092031425,2,0.9994,2,0.8213,-23.54768832,-51.48157463
Arapongas,Brasil,226,0.2686,57.6457,1392.2374,5.8411,79.491,1.051731131,6.228621992,1621.401981,151.7253731,3.080647883,2,0.9997,2,0.9937,-23.3833331,-51.45000073
Cascavel,Brasil,404,0.1923,125.1745,4259.5967,6.4167,82.8786,1.050405808,3.319077847,922.2002964,154.3231506,3.229431183,2,0.9626,2,0.9623,-24.95000075,-53.46666711
Curitiba,Brasil,3689,0.7725,2880.8929,24567.9173,7.9119,66.4869,1.073134331,10.36938393,2712.265097,146.6533487,2.905966885,1,1.0000,3,0.9034,-25.43000402,-49.28499866
Foz do Iguacu,Brasil,364,0.5893,368.7032,3732.6985,4.648,65.14,1.037176719,10.40236502,2332.708637,127.4489999,3.123741206,4,0.9999,3,0.6993,-25.54999908,-54.58333195
Guarapuava,Brasil,338,0.1084,29.2851,2424.5961,5.3065,91.5854,1.104548795,1.511671287,458.207675,182.41628,3.170252926,2,0.9870,1,0.9980,-25.38333313,-51.45000073
Londrina,Brasil,752,0.3075,162.8731,3470.9291,6.838,86.984,1.061958011,7.049338561,1690.064454,142.9212658,3.063036947,2,0.5524,2,0.9943,-23.29999907,-51.15000141
Maringa,Brasil,476,0.3846,434.2391,5493.0762,8.6832,74.2262,1.031078873,11.51749862,2704.963065,133.3497206,3.205181939,4,0.9999,3,0.9867,-23.41666589,-51.91666779
Paranagua,Brasil,192,0.2323,57.1053,1763.193,5.1447,75.786,1.045174523,3.055925135,696.2941809,128.1722418,2.907479046,2,0.9998,2,0.8766,-25.51666629,-48.49999992
Ponta Grossa,Brasil,511,0.2471,155.201,4438.4421,7.8273,76.131,1.078175227,4.25533074,1183.499662,155.7241629,3.130900436,4,0.8164,2,0.9524,-25.08333391,-50.15000139
Toledo,Brasil,402,0.3358,27.3963,1198.7773,4.8396,98.7568,1.082693352,4.964013533,2025.710652,230.2123681,2.999152423,2,0.9847,4,1.0000,-24.73333346,-53.74999988
Caruaru,Brasil,331,0.3595,91.2846,2245.1979,4.5402,124.3789,1.045079298,8.94703773,1609.978779,105.9907712,3.014443137,2,0.9977,2,0.9271,-8.283333725,-35.96666707
Garanhuns,Brasil,143,0.3118,31.6504,1035.4713,4.9731,121.3185,1.052142701,8.229846561,1707.815346,122.173522,3.162971985,2,0.7758,2,0.9754,-8.899999451,-36.48333347
Petrolina,Brasil,531,0.048,8.5237,1673.3403,4.9338,258.5153,1.068019918,1.174796625,306.903435,156.4877308,3.062977768,3,1.0000,1,0.9979,-9.399999512,-40.49999989
Recife,Brasil,2129,1.1299,3724.024,19975.8195,9.5262,63.1107,1.05000431,21.04552626,3731.510871,104.0108769,2.84800134,1,1.0000,3,1.0000,-8.084996968,-34.9149956
Vitoria de Santo Antao,Brasil,65,0.1744,20.5579,763.9393,3.6114,186.9476,1.089177311,7.815027182,1570.621806,117.9056233,2.903244496,3,1.0000,2,0.9607,-8.116666724,-35.29999906
Parnaiba,Brasil,179,0.411,63.9845,1278.2731,4.0576,75.007,1.029393513,9.441598177,1910.173597,114.4551293,3.223127753,2,0.9999,2,0.7927,-2.909166491,-41.77472298
Teresina,Brasil,1194,0.3808,300.3263,6754.9542,7.5915,70.9725,1.033934379,7.210392254,1478.448287,118.7242872,3.225562985,4,0.9998,2,0.9878,-5.104998015,-42.80200157
Angra dos Reis,Brasil,358,0.4338,5.1418,203.4503,3.3453,76.9478,1.15011147,3.921811325,904.5994092,128.9049846,2.467317487,2,0.9940,4,0.9999,-22.99999985,-44.29999911
Araruama,Brasil,680,0.6517,175.756,2373.0955,7.6363,75.1737,1.049606432,10.83688754,2582.072324,142.748412,2.838851773,4,0.7104,3,0.9065,-22.88333314,-42.33333198
Cabo Frio,Brasil,427,0.4725,42.6063,662.7435,4.177,79.8784,1.0425315,11.77073284,2298.325569,116.8107138,2.801500735,2,0.9998,3,0.9693,-22.88333314,-42.01666631
Campos dos Goytacazes,Brasil,585,0.1453,31.7761,1963.032,4.4657,109.0971,1.083688668,2.176263993,671.5830778,183.3019222,2.90785645,2,0.7079,1,0.9302,-21.761967,-41.315938
Macae,Brasil,258,0.212,36.5763,1339.8516,6.7403,85.0116,1.1165858,4.010832733,1009.547646,148.0938853,2.733551555,2,0.9988,4,0.9270,-22.380389,-41.791002
Nova Friburgo,Brasil,295,0.316,2.8485,203.038,4.2603,98.5131,1.241789999,3.86611873,1651.489116,234.6844922,2.316786529,2,0.7158,4,1.0000,-22.26666626,-42.53333271
Petropolis,Brasil,456,0.5728,0.652,35.028,2.9651,90.193,1.274037723,4.514732173,1885.748518,229.8906743,2.304873773,2,0.9981,4,1.0000,-22.4999999,-43.16666782
Resende,Brasil,411,0.2954,18.3014,711.7497,4.4396,79.1533,1.160668361,3.402507111,1120.54003,196.74448,2.81203671,2,0.7613,4,1.0000,-22.4666671,-44.45000071
Rio de Janeiro,Brasil,5586,1.167,9518.401,37172.154,9.761,62.4849,1.059326076,28.01322595,5733.784172,119.2910305,2.813586493,1,1.0000,3,1.0000,-22.72157103,-43.45518559
Teresopolis,Brasil,420,0.5448,7.2217,350.6219,4.5696,115.4701,1.262323701,3.5038185,1695.028809,264.0759724,2.33553719,2,0.9972,4,1.0000,-22.416239,-42.973407
Volta Redonda,Brasil,734,0.5298,98.2259,1862.0076,5.6618,69.9519,1.147157525,5.897343851,1640.031051,163.7928088,2.689918731,2,0.9916,4,0.9995,-22.53333269,-44.11666482
Mossoro,Brasil,265,0.1262,38.3606,2244.1617,5.5631,108.7599,1.029805318,4.092742949,863.7289154,123.4046004,3.096025105,2,0.9966,2,0.9812,-5.19138901,-37.34472264
Natal,Brasil,875,0.591,315.0392,3159.0874,4.9122,75.7308,1.047494297,19.60685569,3670.767825,112.3888469,2.974388789,4,1.0000,3,1.0000,-5.805999041,-35.21099672
Caxias do Sul,Brasil,633,0.385,87.7352,2390.1938,7.3836,77.6394,1.113882129,5.72134063,1642.801628,169.9545986,2.807344922,2,0.9740,4,0.9081,-29.16666591,-51.1833343
Passo Fundo,Brasil,266,0.3395,124.4761,2672.5183,6.278,77.231,1.074561339,5.309450971,1588.791743,168.8499016,3.045174538,2,0.9980,2,0.9119,-28.26666626,-52.4000014
Pelotas,Brasil,507,0.2116,64.968,2806.0008,6.0082,129.3599,1.087165523,2.805580533,1053.512565,215.0808503,2.972299169,2,0.9671,4,0.9788,-31.76666627,-52.33333204
Porto Alegre,Brasil,3931,0.8175,2537.4691,19714.3597,10.2299,64.6152,1.054106095,13.03419917,2943.670891,130.1043948,2.886803682,1,1.0000,3,0.9998,-30.04000196,-51.20800169
Rio Grande,Brasil,326,0.1203,7.4983,667.3735,4.1987,83.2922,1.042312601,1.683954928,569.6325974,191.9075976,3.190815519,3,0.9428,1,0.9986,-32.03578109,-52.08834006
Santa Cruz do Sul,Brasil,356,0.4857,55.8715,1591.879,5.7502,83.0405,1.108225863,3.633462241,1265.715366,196.1851333,2.863595303,2,0.9997,4,0.9983,-29.7166671,-52.4333343
Santa Maria,Brasil,354,0.198,67.12,2666.7808,6.3164,71.2976,1.069322418,5.191083637,1418.679792,148.4134098,2.503064799,2,0.9987,4,0.5891,-29.698895,-53.822747
Uruguaiana,Brasil,400,0.07,5.887,1486.3416,3.8602,208.5903,1.095495954,0.316988673,223.3458146,394.2559368,3.056834194,3,1.0000,1,1.0000,-29.74999989,-57.08333205
Ji-Parana,Brasil,220,0.0319,10.7188,2488.3647,5.7036,84.3735,1.056492067,0.419445179,145.9170127,194.4846595,3.140832328,2,0.9027,1,0.9998,-10.83333285,-61.9666671
Porto Velho,Brasil,901,0.022,10.7444,5012.9265,6.1441,110.6568,1.080905545,0.26959731,131.1373195,277.0559409,2.987895503,4,0.9832,1,0.9997,-8.762004021,-63.9060027
Boa Vista,Brasil,392,0.0689,57.2805,4750.6157,5.4751,100.5706,1.044316116,1.491034711,467.5154692,174.3234867,3.346287829,2,0.9687,1,0.9992,2.817998991,-60.66399562
Balneario Camboriu,Brasil,193,0.7465,128.4483,1418.5708,5.822,64.2205,1.057812623,12.60768147,2811.475747,127.6563016,2.807146353,2,0.9947,3,0.9993,-26.98333347,-48.63333497
Blumenau,Brasil,1707,1.0171,184.8633,2441.6317,7.889,71.5472,1.105709518,6.087679901,1963.427887,165.8840243,2.3417903,4,0.9969,4,0.9978,-26.93333235,-49.04999912
Brusque,Brasil,541,1.1815,36.9801,507.7145,4.8603,71.5817,1.090795121,6.130007135,1832.879636,161.4671447,2.302474591,2,0.9217,4,0.9923,-27.10000029,-48.93333429
Chapeco,Brasil,400,0.6389,130.9977,2399.2796,5.8544,77.0302,1.097913716,12.23337277,3405.681047,152.6384309,2.813243973,2,0.9970,3,1.0000,-27.10000029,-52.59999837
Criciuma,Brasil,934,0.6561,39.699,686.7765,4.4381,81.2565,1.046601858,9.138153787,2424.163312,148.8968979,2.845956354,2,0.9360,2,0.7085,-28.66666585,-49.38333501
Florianopolis,Brasil,1468,0.6481,246.9043,3578.8986,7.5179,66.7889,1.077205444,7.962474411,1959.664606,134.5212909,2.556739688,4,0.9985,2,0.8114,-27.595378,-48.54805
Itajai,Brasil,685,0.9805,157.7112,1386.2537,5.8337,71.5361,1.041970907,12.96334957,3115.256896,135.1637871,2.808152645,2,0.7182,3,1.0000,-26.918295,-48.6617443
Jaragua do Sul,Brasil,896,0.9309,91.53,1590.7565,5.3656,75.2759,1.096992262,5.13077825,1798.77357,188.3207062,2.378083248,2,0.7436,4,0.9998,-26.48333352,-49.06666546
Joinville,Brasil,844,0.5589,686.2755,7878.1127,6.5222,67.4776,1.053053754,7.387134176,1893.207327,141.8932174,2.670031005,4,0.9998,2,0.9541,-26.29999912,-48.83333204
Lages,Brasil,163,0.0619,27.1794,2055.902,4.3277,75.7995,1.101975164,1.652518107,520.9554692,178.7096062,2.986449864,2,0.6998,1,0.9909,-27.80212896,-50.32018145
Aracatuba,Brasil,279,0.239,96.7933,2825.5624,5.9704,82.4727,1.027671063,5.280162699,1100.306198,119.6632865,3.294279176,2,0.9992,2,0.9901,-21.20131644,-50.41854393
Araraquara,Brasil,404,0.3587,118.9302,2392.768,5.3179,78.2378,1.042288246,7.747032845,1664.383068,125.1234384,3.167924528,2,0.9994,2,0.9845,-21.78306989,-48.16687807
Araras,Brasil,242,0.3754,64.3746,1438.9066,4.8085,82.3498,1.052191698,6.41281875,1316.979553,129.7129621,3.050234427,2,0.9999,2,0.9947,-22.36666674,-47.38333497
Atibaia,Brasil,635,1.0818,82.9998,1201.3881,5.2578,79.0044,1.100252635,7.688031418,2427.317497,185.7606649,2.794733045,2,0.9590,4,0.8573,-23.11666667,-46.54999913
Santos,Brasil,1052,0.5451,394.5275,3396.9103,5.5158,63.541,1.035264277,14.39640361,2766.630855,109.9455008,3.095351344,4,0.9999,3,1.0000,-23.95469701,-46.3094906
Barretos,Brasil,310,0.198,29.953,1932.7163,4.8524,84.757,1.076479322,2.824732305,1010.469371,204.8461292,3.278489117,2,0.9684,4,0.7736,-20.5499991,-48.54999906
Bauru,Brasil,261,0.3909,309.5481,3146.5811,5.505,66.8714,1.034867879,15.16932214,2863.549886,108.1150491,3.277915178,4,0.9985,3,1.0000,-22.31666749,-49.06666546
Birigui,Brasil,147,0.2769,61.583,1509.4156,3.7869,77.9661,1.018083979,6.732177445,1411.390831,118.7279378,3.314196242,2,0.9999,2,0.9842,-21.29999914,-50.31666546
Botucatu,Brasil,252,0.17,28.8248,1459.7689,4.8654,90.8088,1.082283305,3.470015947,1074.661202,176.9965879,3.117535381,2,0.8095,2,0.5059,-22.86666669,-48.43333433
Braganca Paulista,Brasil,457,0.8916,57.9564,970.952,4.7365,82.4349,1.086099054,7.834536636,2108.531453,159.8678124,2.876182468,2,0.9983,2,0.9590,-22.95000072,-46.56666547
Campinas,Brasil,4018,1.1839,817.3556,4665.471,7.3221,67.0097,1.055720344,20.79399682,4322.64809,121.9514366,2.99202959,1,1.0000,3,1.0000,-22.90007967,-47.08350276
Catanduva,Brasil,183,0.6296,173.732,1891.1128,5.8672,68.4647,1.026132833,13.35409291,2450.139089,106.3371667,3.297747307,2,0.9847,3,0.9990,-21.13333308,-48.96666708
Franca,Brasil,242,0.3996,403.41,4165.6195,6.8419,66.5673,1.030179962,14.65280678,2698.440377,107.0539304,3.198707256,4,0.9998,3,1.0000,-20.53333265,-47.40000142
Guaratingueta,Brasil,338,0.2537,31.9968,915.1141,3.9824,81.3241,1.086296238,4.466529504,1042.539234,138.0486498,2.933565419,2,0.9452,2,0.9339,-22.81666745,-45.2166671
Itapetininga,Brasil,247,0.138,15.3751,1084.1017,5.2132,165.3388,1.078920048,2.165266049,627.7268849,170.0662604,3.05067645,3,1.0000,1,0.9727,-23.60000028,-48.0499991
Jau,Brasil,203,0.2961,74.8622,1844.1919,5.596,82.4918,1.038899822,6.096769108,1199.741074,118.216183,3.165912177,2,0.9998,2,0.9930,-22.29999905,-48.54999906
Jundiai,Brasil,1447,1.9386,721.6985,4033.4472,8.3616,69.4125,1.088971495,18.283143,4243.457055,136.9056988,2.727795377,4,1.0000,3,1.0000,-23.18333225,-46.86666479
Limeira,Brasil,469,0.674,367.7076,4013.9752,6.4923,75.7359,1.051700001,11.26249753,2318.846705,121.3371463,3.053557154,4,1.0000,3,0.8816,-22.56659027,-47.40077624
Marilia,Brasil,154,0.1316,110.4455,3104.4375,7.1717,72.6046,1.068437219,6.069441986,1445.855988,139.7273514,3.103874586,2,0.9833,2,0.9942,-22.21503758,-49.92153457
Mogi Guacu,Brasil,558,0.4031,84.7241,1905.4075,4.9425,83.4021,1.043918191,5.317034326,1258.868402,143.3360974,3.050130939,2,0.9996,2,0.9914,-22.36666674,-46.9500007
Ourinhos,Brasil,121,0.4084,152.6392,1791.3975,4.1463,70.8861,1.059393463,11.63750134,2418.293564,122.9210019,3.17032818,2,0.9987,3,0.9469,-22.98333351,-49.86666485
Piracicaba,Brasil,467,0.3388,209.5612,3931.8855,7.9195,76.2888,1.068411611,7.287984052,1657.603781,132.3769563,2.933496912,4,0.9616,2,0.9877,-22.71666708,-47.63333495
Presidente Prudente,Brasil,314,0.345,113.0457,2170.3033,5.1552,84.9262,1.049977444,10.71868723,2020.041788,111.0926966,3.122724714,2,0.9997,3,0.5681,-22.11666665,-51.36666482
Ribeirao Preto,Brasil,438,0.6727,1149.6117,6570.1414,6.2338,63.9203,1.041561818,25.91432904,4760.6713,106.5262985,3.033347185,4,0.9993,3,1.0000,-21.16666588,-47.79999912
Rio Claro,Brasil,268,0.449,189.7582,2580.0544,5.012,76.2825,1.038267646,9.134893193,1784.178333,113.3677679,3.202814991,2,0.9902,2,0.9009,-22.39999953,-47.54999914
Sao Carlos,Brasil,400,0.3516,124.5377,2888.4743,5.4998,89.2325,1.047287054,5.991977195,1331.617816,131.3188994,3.10109655,2,0.9988,2,0.9949,-22.01666628,-47.90000138
Sao Jose do Rio Preto,Brasil,748,0.7608,418.8753,4054.7635,5.2655,71.7944,1.040576418,18.15434334,3540.970863,114.5827977,3.164552374,4,1.0000,3,1.0000,-20.812949,-49.382358
Sao Jose dos Campos,Brasil,1121,0.58,155.9608,2077.0731,4.7208,71.7134,1.08199099,9.560118828,2181.298138,134.6084015,2.831975881,4,0.9338,2,0.6494,-23.226409,-45.891854
Sao Paulo,Brasil,5160,0.9149,41125.5507,125647.3959,12.0105,62.7077,1.071662463,35.74948798,6742.708294,112.4557789,2.874320526,1,1.0000,3,1.0000,-23.580999,-46.62299658
Sertaozinho,Brasil,169,0.4195,81.3946,1464.3732,4.6979,68.7975,1.037477288,8.893899667,2008.312994,131.7243356,3.207361327,2,0.9998,2,0.9220,-21.13333308,-47.98333351
Sorocaba,Brasil,1074,1.2077,955.8543,6336.9741,8.0384,66.8035,1.06288925,19.20161323,4183.499901,126.7541473,2.853585417,4,0.9983,3,1.0000,-23.48333346,-47.45000066
Tatui,Brasil,225,0.4298,42.4658,1034.3842,5.002,89.9862,1.061899658,5.084676871,1377.003112,160.5670483,3.072399728,2,0.9998,2,0.9719,-23.3500003,-47.84999836
Taubate,Brasil,630,0.4075,84.7514,1551.9641,4.2633,69.2909,1.062561304,7.152786692,1606.382828,132.6030344,2.906689325,2,0.9991,2,0.9891,-23.03333275,-45.54999911
Aracaju,Brasil,827,0.9553,223.377,2026.6288,4.0678,71.7057,1.063059915,18.78848213,3441.985048,110.6067887,2.921417399,4,0.9694,3,1.0000,-10.91099699,-37.06000157
Araguaina,Brasil,328,0.082,19.4899,2195.9651,4.8648,80.8319,1.05396733,1.514963388,422.0063603,157.6162998,3.246778839,2,0.6905,1,0.9968,-7.198507049,-48.19642054
Palmas,Brasil,315,0.1419,31.1385,1108.3604,4.745,90.2329,1.079999788,4.545097691,1142.751937,148.6406478,2.963480963,2,0.8137,2,0.9443,-10.249091,-48.324286
Tubarao,Brasil,335,0.6444,73.6138,1183.9701,5.8097,71.1842,1.079795524,7.526462335,2115.528418,156.6557115,2.699388846,2,0.9992,2,0.9011,-28.47608461,-49.02190718
Bento Goncalves,Brasil,458,0.5874,23.9977,580.7868,3.8673,84.5407,1.186597484,4.869544295,1916.893993,222.1479475,2.787822497,2,0.9995,4,1.0000,-29.167888,-51.53896091
Caraguatatuba,Brasil,391,0.442,79.6197,1452.8969,5.8752,64.6305,1.076832405,7.27713085,1541.806321,111.8768411,2.76390561,2,0.9992,2,0.9504,-23.62291527,-45.40402603
Parobe,Brasil,394,0.444,25.0805,660.9301,4.6915,72.5134,1.100586663,4.562463414,1571.600482,196.4977086,2.773599535,2,0.9994,4,0.9971,-29.62516513,-50.83155417
Rio das Ostras,Brasil,173,0.2508,48.601,1070.6565,4.5109,72.525,1.082356498,7.472162489,1872.738288,145.5653224,2.871361955,2,0.9998,2,0.9770,-22.52482134,-41.94846881
Arica,Chile,287,0.0598,9.8919,1749.0219,4.9524,100.1117,1.079796101,1.131474059,262.7027463,125.6447122,3.014373038,3,0.8816,1,0.9956,-18.48333348,-70.33333581
Iquique,Chile,140,0.0489,7.6162,864.6264,2.9482,113.8007,1.074274966,1.622316379,378.2512188,137.7903756,3.103786541,3,0.9989,1,0.9912,-20.22100207,-70.14899669
Antofagasta,Chile,262,0.0085,2.3645,2045.4179,4.5407,159.1956,1.110787612,0.246399905,92.84334904,184.9737847,3.024769249,3,1.0000,1,0.9975,-23.64100205,-70.39899865
Calama,Chile,196,0.0126,2.3223,1341.8669,3.6005,139.2676,1.093851185,0.371418193,136.4857962,217.4420924,2.970775288,3,1.0000,1,0.9988,-22.4666671,-68.93333432
Copiapo,Chile,259,0.0146,2.3087,1569.7839,5.9281,211.6383,1.129454209,0.221958876,121.457538,323.0502811,2.882439848,3,1.0000,1,0.9969,-27.36000006,-70.33200259
La Serena-Coquimbo,Chile,693,0.2084,20.362,1121.2145,3.7861,86.4973,1.087437851,3.652063883,744.768129,118.9177365,2.864868575,3,0.8729,2,0.8326,-29.90777769,-71.25416554
Valparaiso-Vina del Mar,Chile,420,0.3685,142.8782,1809.0051,5.0801,65.4765,1.089076502,16.15895761,2751.780093,96.22295269,2.681151126,2,0.9985,3,1.0000,-33.04777901,-71.60111233
Quillota,Chile,240,0.547,45.0394,808.9311,4.8067,75.8343,1.063438431,8.452713274,1671.361989,116.7911764,2.767034393,2,0.9998,2,0.9287,-32.88333499,-71.26667014
San Antonio,Chile,289,0.3896,9.2127,305.744,3.4396,81.8317,1.077411995,5.739610675,1431.944501,150.2857298,2.859052712,2,0.9567,2,0.9547,-33.59333413,-71.62166594
Santiago,Chile,1054,0.4353,15324.0091,56153.1707,7.122,63.4101,1.052419697,42.08666132,5953.925324,82.8669388,2.945620519,1,1.0000,3,1.0000,-33.47502305,-70.64751555
Rancagua,Chile,892,0.2493,30.5724,1788.6072,4.2403,87.8278,1.097306494,2.507746712,482.9991166,111.8583721,2.740724303,2,0.7883,1,0.7703,-34.16666778,-70.74999986
Talca,Chile,540,1.1376,247.9689,2726.1283,5.8558,72.8071,1.058822228,16.35119233,2688.139624,96.10500602,2.869968706,4,0.9961,3,1.0000,-35.42300104,-71.6599977
Curico,Chile,395,0.2963,21.8777,1083.0524,3.2114,81.9089,1.087238522,3.017826185,626.9179062,118.0462212,2.754143646,2,0.6879,2,0.4922,-34.98333351,-71.2333297
Concepcion,Chile,568,0.2792,177.5667,2955.3639,5.7665,64.7158,1.100667872,10.63572849,1916.380857,104.2684256,2.770027855,2,0.9403,3,0.8215,-36.82600195,-73.05499764
Chillan,Chile,557,0.7554,95.5931,2027.59,4.3383,77.8001,1.060750597,7.477231827,1538.372644,115.8358678,2.722377622,2,0.9983,2,0.9578,-36.612622,-72.106459
Los Angeles,Chile,1117,0.6383,16.4112,932.0212,3.5622,113.226,1.066584125,2.736837982,813.4653251,168.1707414,2.735855263,4,0.9029,4,0.6318,-37.46204968,-72.35262433
Temuco,Chile,634,0.6831,91.5323,1994.7149,4.0118,74.1904,1.075697693,9.482285402,1943.898976,118.5685535,2.869458593,2,0.9978,2,0.7503,-38.728998,-72.57599956
Valdivia,Chile,269,0.2784,18.1671,932.433,4.4155,70.0802,1.125126711,4.390523367,950.9064008,123.7994704,2.79541109,2,0.5545,4,0.9080,-39.819586,-73.24521
Osorno,Chile,450,0.4712,44.4871,1740.8861,5.4372,94.8936,1.075278266,4.607272316,1054.335606,134.7510472,2.855905067,2,0.9996,2,0.9505,-40.56666548,-73.15000137
Puerto Montt,Chile,576,0.3439,31.0101,1334.9909,3.746,72.959,1.087442413,4.133509992,941.8496198,132.2342645,2.760877132,2,0.9909,2,0.7741,-41.47499693,-72.9520016
Punta Arenas,Chile,186,0.0105,2.114,1463.603,3.6931,101.0942,1.090509007,0.226577692,64.89546102,166.3953359,2.987715517,3,0.9769,1,0.9983,-53.16616806,-70.93465171
Apartado,Colombia,43,0.0783,3.4725,367.7264,3.1913,116.9186,1.083376661,3.040933478,445.8102714,85.44227734,2.962525667,3,0.9993,1,0.9239,7.900000107,-76.65000138
Medellin,Colombia,543,0.5699,1542.3277,10391.5472,7.5022,66.4517,1.141507644,21.32852425,4264.106849,115.2401881,2.858787537,4,0.9622,3,1.0000,6.240996044,-75.59199866
Barranquilla,Colombia,349,0.7059,1708.6777,7553.6585,4.0317,64.6677,1.025662496,36.24051699,5473.541203,86.27767131,3.172308156,4,0.9912,3,1.0000,10.963889,-74.796389
