L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG
San Luis Potosi,Mexico,748,0.4186,1265.6515,12377.7151,6.4619,77.777,1.041374597,11.19910462,1948.61982,100.4884506,2.908276468,4,1.0000,3,0.7961,22.151997,-100.9799997
Obregon,Mexico,742,0.1522,49.5766,2985.125,4.8635,124.5596,1.051260227,2.138149004,511.414835,136.7634595,3.130022226,2,0.9352,1,0.9341,27.479791,-109.934667
Guaymas,Mexico,459,0.0537,6.8802,1091.0393,4.6836,158.3499,1.046999985,0.975159276,260.1378716,149.7986618,3.019758841,3,1.0000,1,0.9967,27.93333241,-110.9000014
Hermosillo,Mexico,1417,0.0836,101.1191,9805.8787,7.2406,124.074,1.055032857,1.262129651,339.0438399,149.806882,2.993579267,4,1.0000,1,0.9946,29.09400307,-110.9619987
Navojoa,Mexico,530,0.1887,22.5394,1585.3747,4.814,135.8374,1.040764939,2.024962397,566.6853563,155.3059049,3.149297066,3,0.9984,1,0.9664,27.10000044,-109.4333343
Nogales,Mexico,116,0.066,66.367,3119.7966,6.644,71.0261,1.080842283,1.867706578,446.1425038,135.7732677,2.66989843,2,0.9943,1,0.8957,31.33333404,-110.9333343
San Luis Rio Colorado,Mexico,385,0.0434,27.6595,4320.103,4.4226,91.5216,1.026031293,0.919565448,241.2515307,137.7913091,3.632356362,2,0.9938,1,0.9990,32.48333356,-114.800003
Villahermosa,Mexico,1328,0.5893,164.7029,3401.6705,8.6349,79.1364,1.103195845,2.954946568,1070.899486,205.451086,2.751105422,4,1.0000,4,0.9993,17.97599701,-92.93699661
Victoria,Mexico,438,0.2993,177.9283,4176.3724,4.8524,70.4553,1.031936077,5.560983888,1029.57772,105.6704973,3.101894965,2,0.9177,2,0.9844,23.73333359,-99.13333118
Matamoros,Mexico,562,0.1213,115.3809,6092.638,5.8207,80.6585,1.04787837,2.884060333,672.6008639,135.6048003,3.116241393,4,0.9010,2,0.7117,25.88333324,-97.49999993
Nuevo Laredo,Mexico,452,0.3693,187.6007,3173.2143,5.0869,72.453,1.024767198,8.02594313,1524.758843,106.9572802,3.261942453,2,0.9729,2,0.9597,27.50000003,-99.51667008
Reynosa,Mexico,957,0.2023,198.4285,6545.7758,7.646,110.2315,1.046310419,3.19548395,852.7218497,153.9707344,3.088741411,4,1.0000,2,0.9318,26.08333397,-98.28333266
Tampico,Mexico,1027,0.1944,146.1989,5071.6714,5.4377,89.0508,1.078186809,2.790063976,758.2552842,152.203043,3.13933745,4,0.9945,2,0.5746,22.24323907,-97.84262663
Tlaxcala,Mexico,815,1.1511,228.202,1880.5385,7.4907,67.815,1.050357095,14.68709004,3895.739372,152.2910526,2.863322343,4,0.9992,3,1.0000,19.31000398,-98.23699769
Acayucan,Mexico,234,0.2821,5.7526,288.5007,2.7506,203.3894,1.06854809,1.896973807,655.3321059,188.5745274,3.016028956,3,1.0000,1,0.9884,17.949411,-94.917532
Coatzacoalcos,Mexico,364,0.7324,202.6463,1715.9293,4.2072,68.4213,1.051143415,14.27458837,2789.259059,110.313864,3.041240832,2,0.9552,3,1.0000,18.14999963,-94.41666397
Cordoba,Mexico,362,0.7862,121.3725,1412.6714,5.2021,94.7479,1.062011441,11.42335776,2574.227688,126.1021829,2.860232945,2,0.9982,3,0.9803,18.88333322,-96.93333428
Minatitlan,Mexico,770,0.2628,32.955,1688.6261,4.7884,99.6508,1.102341325,1.371522235,598.4743082,242.1479711,2.85078125,2,0.9554,1,0.9775,17.990329,-94.551193
Orizaba,Mexico,309,0.4985,217.8909,2627.9699,6.8506,74.006,1.094520385,6.344873743,1769.502993,153.5606902,3.117417678,2,0.6238,2,0.9663,18.85000043,-97.09999835
Poza Rica de Hidalgo,Mexico,1171,0.4199,67.9163,2313.4243,6.1455,113.3029,1.07331231,5.093896835,1111.837097,121.8633651,2.766855907,4,0.9755,2,0.9386,20.536174,-97.45803
Veracruz,Mexico,1060,0.6457,391.8633,5130.7734,5.4426,78.6284,1.04687734,9.6499189,1849.049454,109.0568181,3.099296282,4,1.0000,2,0.8038,19.18500308,-96.12299657
Xalapa,Mexico,577,0.6654,296.8394,3344.6626,5.329,84.5074,1.095202768,14.98182894,3013.004565,115.1698175,2.733513351,4,0.9988,3,1.0000,19.533333,-96.916667
Merida,Mexico,951,0.6218,1468.9016,11805.2653,7.3239,68.3431,1.033865839,19.99557316,4014.999884,115.406658,3.144416333,4,0.9617,3,1.0000,20.98299594,-89.62800257
Fresnillo,Mexico,635,0.1247,7.5151,780.9719,3.5526,314.6371,1.052158857,0.546313919,231.0443206,237.5496923,3.15370019,3,1.0000,1,0.9999,23.16666596,-102.8833312
Zacatecas,Mexico,541,0.3757,31.8131,916.4303,4.7465,102.546,1.060760758,4.31381063,915.5959248,122.9880872,2.895337901,2,0.9973,2,0.9710,22.76399694,-102.5549997
Chinandega,Nicaragua,257,0.134,3.6112,480.941,3.9878,98.8623,1.085051716,1.043965151,396.7081776,213.390016,2.910339257,3,0.9682,1,0.9980,12.61666679,-87.1500014
Esteli,Nicaragua,159,0.2013,9.6565,734.7032,3.9249,90.2982,1.089278573,2.14739047,479.9250088,128.9387849,3.032290616,3,0.9410,1,0.9620,13.08333301,-86.34999835
Leon,Nicaragua,249,0.3083,17.4546,893.8011,4.4331,90.4494,1.062794981,3.199543119,884.029552,156.3740402,2.949114332,2,0.7375,2,0.8820,12.43299608,-86.88099568
Managua,Nicaragua,1269,1.2068,843.6098,6963.0599,6.3768,64.6432,1.052418544,15.71754807,2875.842698,105.0133981,2.873823163,4,0.9996,3,1.0000,12.132778,-86.250278
Masaya,Nicaragua,253,1.7243,49.0466,708.8212,2.9678,80.4881,1.054554774,6.509183744,1903.088726,174.0288217,2.999080882,4,0.9867,2,0.9466,11.96666618,-86.09999837
Panama City,Panama,1792,0.5316,422.7938,6039.8232,6.958,67.7598,1.086311585,5.696549,1465.58443,144.3176387,2.609170554,4,0.9984,2,0.6375,8.966666233,-79.53333273
Colon,Panama,465,0.4589,28.028,982.5781,6.8448,79.5479,1.145638198,1.771067207,734.8339785,232.5660934,2.600080873,2,0.9973,4,0.9857,9.359167145,-79.90139005
David,Panama,592,0.7054,47.5053,996.5367,4.7097,71.7551,1.052098646,4.954379323,1440.420384,163.7815995,2.802032367,2,0.9983,2,0.8503,8.433333379,-82.43333429
